ts,symbol,combo,event,spy_close,spy_ema50,beta_60
2025-03-24,META,C,spy_below_ema50,574.02,584.3359885186521,
2025-03-25,META,C,spy_below_ema50,575.405,583.9857536747834,
2025-03-26,META,C,spy_below_ema50,568.75,583.3882731385173,
2025-03-27,META,C,spy_below_ema50,567.03,582.7467722311245,
2025-03-28,META,C,spy_below_ema50,555.7,581.6861144965706,
2025-03-31,META,C,spy_below_ema50,559.26,580.8066590261168,
2025-04-01,META,C,spy_below_ema50,561.1,580.0338488682298,
2025-04-02,META,C,spy_below_ema50,564.63,579.4297763635933,
2025-04-03,META,C,spy_below_ema50,537.3,577.7776282709034,
2025-04-04,META,C,spy_below_ema50,505.93,574.9600742210641,
2025-04-07,META,C,spy_below_ema50,504.45,572.1949732712185,
2025-04-08,META,C,spy_below_ema50,496.6,569.2304645154844,
2025-04-09,META,C,spy_below_ema50,542.955,568.2000541423281,
2025-04-10,META,C,spy_below_ema50,524.63,566.4914245681192,
2025-04-11,META,C,spy_below_ema50,534.0,565.217251055644,
2025-04-14,META,C,spy_below_ema50,538.98,564.1883392495404,
2025-04-15,META,C,spy_below_ema50,537.64,563.1472279064212,
2025-04-16,META,C,spy_below_ema50,525.73,561.6798856355812,
2025-04-17,META,C,spy_below_ema50,526.34,560.2940077675191,
2025-04-21,META,C,spy_below_ema50,513.96,558.4769878550674,
2025-04-22,META,C,spy_below_ema50,526.95,557.2406353901628,
2025-04-23,META,C,spy_below_ema50,535.29,556.379826159176,
2025-04-24,META,C,spy_below_ema50,546.44,555.9900290548945,
2025-04-25,META,C,spy_below_ema50,550.55,555.7766945821536,
2025-04-28,META,C,spy_below_ema50,551.07,555.5921183240299,
2025-04-29,META,C,spy_below_ema50,554.09,555.5332117230876,
2025-04-30,META,C,spy_below_ema50,554.02,555.473870086888,
2025-07-11,META,C,beta_gate_fail,,,1.512029156798475
2025-07-14,META,C,beta_gate_fail,,,1.507931251956295
2025-07-15,META,C,beta_gate_fail,,,1.5564249195026325
2025-07-16,META,C,beta_gate_fail,,,1.560830922207209
2025-07-17,META,C,beta_gate_fail,,,1.5745188639677286
2025-07-18,META,C,beta_gate_fail,,,1.6020264918502578
2025-07-21,META,C,beta_gate_fail,,,1.5875306536493916
2025-07-22,META,C,beta_gate_fail,,,1.699112272063974
2025-07-23,META,C,beta_gate_fail,,,1.687384011000472
2025-07-24,META,C,beta_gate_fail,,,1.691116994880046
2025-07-25,META,C,beta_gate_fail,,,1.6925746895152955
2025-07-28,META,C,beta_gate_fail,,,1.6831175156767708
2025-07-29,META,C,beta_gate_fail,,,1.6475894503793196
2025-07-30,META,C,beta_gate_fail,,,1.5920099815886402
2025-11-17,META,C,spy_below_ema50,665.72,666.7543691371054,
2025-11-18,META,C,spy_below_ema50,660.16,666.4957664258463,
2025-11-19,META,C,spy_below_ema50,662.68,666.3461285267936,
2025-11-20,META,C,spy_below_ema50,652.42,665.8000058394683,
2025-11-21,META,C,spy_below_ema50,659.15,665.5392212967441,
2025-12-17,META,C,spy_below_ema50,671.43,673.2850823239643,
2026-02-05,META,C,spy_below_ema50,677.44,684.8879059582025,
2026-02-12,META,C,spy_below_ema50,681.19,685.77695478599,
2026-02-13,META,C,spy_below_ema50,681.61,685.6135447943826,
2026-02-17,META,C,spy_below_ema50,682.76,685.5016410769558,
2026-02-19,META,C,spy_below_ema50,684.505,685.4884929741527,
2026-02-23,META,C,spy_below_ema50,682.39,685.5158676012843,
2026-03-03,META,C,spy_below_ema50,680.29,685.8109536184259,
2026-03-04,META,C,spy_below_ema50,685.13,685.7842495549583,
2026-03-05,META,C,spy_below_ema50,681.405,685.6125142782932,
2026-03-06,META,C,spy_below_ema50,672.44,685.0959450909093,
2026-03-09,META,C,spy_below_ema50,678.3,684.8294374402855,
2026-03-10,META,C,spy_below_ema50,677.13,684.527498717137,
2026-03-11,META,C,spy_below_ema50,676.34,684.2064203360727,
2026-03-12,META,C,spy_below_ema50,666.05,683.4944038523051,
2026-03-13,META,C,spy_below_ema50,662.3,682.663250760058,
2026-03-16,META,C,spy_below_ema50,668.97,682.1262605341734,
2026-03-17,META,C,spy_below_ema50,670.75,681.6801326700881,
2026-03-18,META,C,spy_below_ema50,661.54,680.890323545771,
2026-03-19,META,C,spy_below_ema50,657.605,679.9771736027996,
2023-04-26,MSFT,C,spy_below_ema50,0.0,0.0,
2023-04-27,MSFT,C,spy_below_ema50,0.0,0.0,
2023-04-28,MSFT,C,spy_below_ema50,0.0,0.0,
2023-05-01,MSFT,C,spy_below_ema50,0.0,0.0,
2023-05-02,MSFT,C,spy_below_ema50,0.0,0.0,
2023-05-03,MSFT,C,spy_below_ema50,0.0,0.0,
2023-05-04,MSFT,C,spy_below_ema50,0.0,0.0,
2023-05-05,MSFT,C,spy_below_ema50,0.0,0.0,
2023-05-08,MSFT,C,spy_below_ema50,0.0,0.0,
2023-05-09,MSFT,C,spy_below_ema50,0.0,0.0,
2023-05-10,MSFT,C,spy_below_ema50,0.0,0.0,
2023-05-11,MSFT,C,spy_below_ema50,0.0,0.0,
2023-05-12,MSFT,C,spy_below_ema50,0.0,0.0,
2023-05-15,MSFT,C,spy_below_ema50,0.0,0.0,
2023-05-16,MSFT,C,spy_below_ema50,0.0,0.0,
2023-05-17,MSFT,C,spy_below_ema50,0.0,0.0,
2023-05-18,MSFT,C,spy_below_ema50,0.0,0.0,
2023-05-19,MSFT,C,spy_below_ema50,0.0,0.0,
2023-05-22,MSFT,C,spy_below_ema50,0.0,0.0,
2023-05-23,MSFT,C,spy_below_ema50,0.0,0.0,
2023-05-24,MSFT,C,spy_below_ema50,0.0,0.0,
2023-05-25,MSFT,C,spy_below_ema50,0.0,0.0,
2023-05-26,MSFT,C,spy_below_ema50,0.0,0.0,
2023-05-30,MSFT,C,spy_below_ema50,0.0,0.0,
2023-05-31,MSFT,C,spy_below_ema50,0.0,0.0,
2023-06-01,MSFT,C,spy_below_ema50,0.0,0.0,
2023-06-02,MSFT,C,spy_below_ema50,0.0,0.0,
2023-06-05,MSFT,C,spy_below_ema50,0.0,0.0,
2023-06-06,MSFT,C,spy_below_ema50,0.0,0.0,
2023-06-07,MSFT,C,spy_below_ema50,0.0,0.0,
2023-06-08,MSFT,C,spy_below_ema50,0.0,0.0,
2023-06-09,MSFT,C,spy_below_ema50,0.0,0.0,
2023-06-12,MSFT,C,spy_below_ema50,0.0,0.0,
2023-06-13,MSFT,C,spy_below_ema50,0.0,0.0,
2023-06-14,MSFT,C,spy_below_ema50,0.0,0.0,
2023-06-15,MSFT,C,spy_below_ema50,0.0,0.0,
2023-06-16,MSFT,C,spy_below_ema50,0.0,0.0,
2023-06-20,MSFT,C,spy_below_ema50,0.0,0.0,
2023-06-21,MSFT,C,spy_below_ema50,0.0,0.0,
2023-06-22,MSFT,C,spy_below_ema50,0.0,0.0,
2023-06-23,MSFT,C,spy_below_ema50,0.0,0.0,
2023-06-26,MSFT,C,spy_below_ema50,0.0,0.0,
2023-06-27,MSFT,C,spy_below_ema50,0.0,0.0,
2023-06-28,MSFT,C,spy_below_ema50,0.0,0.0,
2023-06-29,MSFT,C,spy_below_ema50,0.0,0.0,
2023-06-30,MSFT,C,spy_below_ema50,0.0,0.0,
2023-07-03,MSFT,C,spy_below_ema50,0.0,0.0,
2023-07-05,MSFT,C,spy_below_ema50,0.0,0.0,
2023-07-06,MSFT,C,spy_below_ema50,0.0,0.0,
